Text,Price
크립토 '공포·탐욕 지수' 21... 극단적 공포 지속 | 코인니스,-1
"미스블록, 보스톤미소치과 등 6곳과 파트너십 체결 | 코인니스",-1
"지엑스체인,  GXChain 2.0 테스트넷 공개 | 코인니스",-1
牙买加央行发布加密货币风险警告 | 코인니스,-1
摩根溪创始人：人们对通胀数据毫不惊慌令我大为惊讶 | 코인니스,-1
A股收盘：沪指收跌1.07% 深成指收跌0.88% | 코인니스,-1
华硕RTX 3080高达联名款显卡出现在越南零售矿机里 | 코인니스,-1
Willy Woo：比特币有望涨至15.7万美元，开启牛市只是时间问题 | CoinNess,-1
纽约地方法院将召开SEC对主管Hinman证词的抗辩听证会 | 코인니스,-1
分片公链Zilliqa正在区块高度1283088紧急进行网络升级，暂不处理任何交易 | CoinNess,-1
富士币FORTH跌破17USDT，24小时跌幅9.03% | 코인니스,-1
富士幣FORTH跌破17USDT，24小時跌幅9.03% | 코인니스,-1
"자메이카 중앙은행, 암호화폐 투자 위험 경고 | 코인니스",-1
"질리카, 네트워크 업그레이드 긴급 진행 | 코인니스",-1
포블게이트 실시간 주요 암호화폐 시세 | 코인니스,-1
USDT火币OTC价格回升至6.47元 | 코인니스,-1
ZK期货持续攀升，24h涨幅33.57% | CoinNess,-1
ZK期貨持續攀升，24h漲幅33.57% | 코인니스,-1
"윌리 우 ""비트코인, 오르는 건 시간문제"" | CoinNess",-1
DAFI Protocol宣布已开始开发DAFI桥，以将ERC-20 DAFI转移至Polygon和BSC | 코인니스,-1
DAFI Protocol宣布已開始開發DAFI橋，以將ERC-20 DAFI轉移至Polygon和BSC | CoinNess,-1
链上游戏 Axie Infinity 团队称部分功能已恢复，但仍存在稳定性问题 | CoinNess,-1
鏈上遊戲 Axie Infinity 團隊稱部分功能已恢複，但仍存在穩定性問題 | CoinNess,-1
Hotcoin（热币）将于7月20日15:00上线BSE | 코인니스,-1
Hotcoin（熱幣）將於7月20日15:00上線BSE | CoinNess,-1
"온체인 게임 프로젝트 엑시인피니티 ""접속장애 일부 복구"" | CoinNess",-1
CoinList将上线wCFG | 코인니스,-1
CoinList將上線wCFG | 코인니스,-1
佳士得今年上半年因NFT热潮售出 35 亿美元艺术品 | 코인니스,-1
"뉴욕 법원, 리플-SEC 소송 관련 청문회 개최 예정 | 코인니스",-1
"테라, UST 머큐리얼 파이낸스 지원 관련 거버넌스 투표 진행 | 코인니스",-1
WZRY营销总监林柒：打造真正意义上的游戏代币 | 코인니스,-1
WZRY營銷總監林柒：打造真正意義上的遊戲代幣 | 코인니스,-1
以太坊客户端Geth发布伦敦升级版v1.10.5 | 코인니스,-1
"《黑天鹅》作者称比特币为最""脆弱""的资产之一 | 코인니스",-1
全战三国将于7月15日开启第一轮卡包预售，新物平台NewItem全面支持卡牌交易 | 코인니스,-1
全戰三國將於7月15日開啟第一輪卡包預售，新物平台NewItem全麵支持卡牌交易 | 코인니스,-1
数据显示：币安铸造约2亿枚BUSD | 코인니스,-1
GMO Coin已上线Cosmos（ATOM） | 코인니스,-1
数字资产证券产品总价值77.28亿美元，环比下降1.55% | 코인니스,-1
數字資產證券產品總價值77.28億美元，環比下降1.55% | 코인니스,-1
"바이낸스, 약 2억 BUSD 신규 발행 | 코인니스",-1
"이더리움 클라이언트 Geth, 1.10.5 버전 출시 | 코인니스",-1
"BTC五分钟内上涨1.01%，现报$31,899 | 코인니스",-1
"BTC五分鐘內上漲1.01%，現報$31,899 | 코인니스",-1
"BTC Surges by 1.01% Within 5 Mins, Marking 31,899 USDT | 코인니스",-1
"BTC, 5분간 1.01% 상승, 현재 31,899 달러 | 코인니스",-1
"BTC 5 dakika içinde  1.01% Dalgalanıyor  , şu anki fiyatı 31,899USDT | 코인니스",-1
"BTC đã tăng khoảng 1.01% trong 5 phút, giá hiện tại là 31,899 USDT | 코인니스",-1
SumSwap将于7月16日开放交易对创建权 | 코인니스,-1
SumSwap將於7月16日開放交易對創建權 | CoinNess,-1
印度德里高等法院寻求禁止印度加密资产交易所在没有免责声明情况下发布广告 | 코인니스,-1
Axie Infinity 24小时交易量达2135万美元，是CryptoPunks的近10倍 | 코인니스,-1
Axie Infinity 24小時交易量達2135萬美元，是CryptoPunks的近10倍 | 코인니스,-1
Phoenix在土耳其伊斯坦布尔开设第二家挖矿设备商店 | 코인니스,-1
"바이낸스, FOR 트레이딩 대회 개최.. 5만 달러 규모 | CoinNess",-1
美法官驳回BitMEX案原告的动议 | 코인니스,-1
马斯克疑似对开源比特币钱包的监管提出质疑 | 코인니스,-1
"테조스-엠블, 블록체인 기술 협력…타다 데이터 비즈니스 기술 개발 | 코인니스",-1
"인도 법원, 표준화된 암호화폐 TV광고 면책조항 요구 | 코인니스",-1
Rabbit Finance：市场流传的相关问题并没有实际发生，更多的是一些自媒体的担心和揣测 | 코인니스,-1
截至今日18时ETH资金净流出1.1亿美元 | 코인니스,-1
BNB突破300 USDT | 코인니스,-1
HT跌破9 USDT | 코인니스,-1
多链借贷协议Flux Protocol(FLUX)将于7月15日14:00上线MEXC | 코인니스,-1
多鏈借貸協議Flux Protocol(FLUX)將於7月15日14:00上線MEXC | 코인니스,-1
派盾：Polygon Space Token 项目遭闪电贷攻击 | 코인니스,-1
派盾：Polygon Space Token 項目遭閃電貸攻擊 | 코인니스,-1
英国央行副行长坎利夫：比特币投资者应该做好赔钱的准备 | CoinNess,-1
"머스크, 오픈소스 비트코인 지갑 규제 관련 질문으로 커뮤니티 공분 | CoinNess",-1
"펙실드 ""폴리곤 스페이스 토큰, 플래시론 공격 받아"" | CoinNess",-1
실시간 암호화폐 자금 흐름 | 코인니스,-1
卢旺达非政府组织与卡尔达诺基金会合作推出 ADA 加密慈善平台 | 코인니스,-1
Bitfinex将于7月16日17:00上线TERRAUST和MIR | 코인니스,-1
"비트메인 중동 파트너, 이스탄불에 2호점 오픈 | 코인니스",-1
"비트파이넥스 7/16 TERRAUST, MIR 상장 | CoinNess",-1
"후오비코리아, 외국인 거래 제한 예정.. AML 강화 | CoinNess",-1
能源区块链 Power Ledger 将从以太坊迁移至基于 Solana 的私有区块链 | 코인니스,-1
AntiMatter发布“Chainswap攻击事件”跟进说明：将基于快照对受损用户进行空投 | 코인니스,-1
币世界晚内参：安徽省全面清理关停虚拟货币挖矿项目 | CoinNess,-1
欧洲央行批准下一阶段的数字欧元 | 코인니스,-1
贝莱德CEO：对于加密货币，我们看到投资者对这类产品的需求非常小 | 코인니스,-1
欧洲央行执委帕内塔：数字欧元比比特币更具环境友好性 | 코인니스,-1
"ECB ""디지털 유로, 비트코인보다 친환경적"".. 발행 대비 위한 다음 단계 추진 | 코인니스",-1
"블랙록 CEO ""비트코인에 대한 기관투자자 수요 크지 않다"" | 코인니스",-1
区块链安全公司CertiK完成 3700 万美元B轮融资 | CoinNess,-1
FORTH正式上线Crypto | 코인니스,-1
FORTH正式上線Crypto | 코인니스,-1
바이비트 “미국 물가 상승에도 비트코인 가격 하락세” | 코인니스,-1
"서틱, 3700만 달러 시리즈 B 투자 유치 | 코인니스",-1
Neo公布理事会初始成员名单，包括链节点等10家组织入选 | 코인니스,-1
美联储主席鲍威尔：如果通胀上升太多，美联储准备调整政策 | 코인니스,-1
"경찰, 업비트 '수상한' 해외법인 수사 착수 | CoinNess",-1
美国6月PPI年率录得7.3%，创有纪录以来新高 | CoinNess,-1
全球知名资管公司Apollo与区块链金融公司Figure达成合作协议，将于链上进行金融应用合作 | 코인니스,-1
全球知名資管公司Apollo與區塊鏈金融公司Figure達成合作協議，將於鏈上進行金融應用合作 | 코인니스,-1
DeFi 借贷平台 Vee.Finance 完成数百万美元种子轮融资 | CoinNess,-1
加密货币钱包提供商 Phantom完成900 万美元A 轮融资 | CoinNess,-1
Chia创始人：我们正在努力改进开发者工具 | 코인니스,-1
百威母公司欲进军NFT 跨界领域 | 코인니스,-1
"암호화폐 지갑 팬텀, 900만 달러 시리즈 A 투자 유치 | 코인니스",-1
"BTC五分钟内上涨1.03%，现报$32,738.08 | 코인니스",-1
"BTC五分鐘內上漲1.03%，現報$32,738.08 | CoinNess",-1
"BTC Surges by 1.03% Within 5 Mins, Marking 32,738.08 USDT | 코인니스",-1
"BTC, 5분간 1.03% 상승, 현재 32,738.08 달러 | 코인니스",-1
"BTC 5 dakika içinde  1.03% Dalgalanıyor  , şu anki fiyatı 32,738.08USDT | CoinNess",-1
"BTC đã tăng khoảng 1.03% trong 5 phút, giá hiện tại là 32,738.08 USDT | 코인니스",-1
IntoTheBlock：持有BTC少于一个月的地址数量减少了59% | 코인니스,-1
"버드와이저, NFT 분야 진출 모색 | 코인니스",-1
美股三大股指集体高开 | 코인니스,-1
"BTC 1개월 미만 보유 주소, 2월 이후 59% 감소 | CoinNess",-1
미 증시 3대 지수 상승 출발 | CoinNess,-1
zkSync 1.x主网升级将于今晚11点开始，持续2-3小时 | 코인니스,-1
zkSync 1.x主網升級將於今晚11點開始，持續2-3小時 | 코인니스,-1
数据：长期BTC持有者地址数量创新高 | CoinNess,-1
Deri Protocol宣布于BSC上线基础代币CAKE | CoinNess,-1
Deri Protocol宣布於BSC上線基礎代幣CAKE | CoinNess,-1
OKB突破11 USDT | 코인니스,-1
"BTC 1년 이상 보유 주소, 사상 최대 | 코인니스",-1
前美国财长姆努钦：购买比特币“完全没问题” | 코인니스,-1
자정부터 zkSync 1.x 메인넷 업그레이드 | 코인니스,-1
Aave创始人：新版本的Aave协议正在审计中 | CoinNess,-1
Aave創始人：新版本的Aave協議正在審計中 | 코인니스,-1
"므누신 ""비트코인 구입, 완벽하게 문제 없다"" | CoinNess",-1
Valkyrie推出Algorand信托，仅针对合格投资者开放 | 코인니스,-1
币世界明日看点：央行决定下调金融机构存款准备金率0.5个百分点 | CoinNess,-1
Oklo 将为比特币矿业公司Compass Mining 提供 150 兆瓦清洁能源 | CoinNess,-1
Ripple代表律师：SEC诉Ripple案电话会议将于15日举行 | CoinNess,-1
"크립토닷컴 NFT, Crypto.org 체인 월렛으로 전송 가능 | 코인니스",-1
媒体：矿商上周平均每天赚取 2947 万美元 | 코인니스,-1
내일 암호화폐 업계 주요 일정 | 코인니스,-1
Bird.Finance登录BXH去中心化交易平台 | 코인니스,-1
Bird.Finance登錄BXH去中心化交易平台 | CoinNess,-1
"발키리, 알고랜드 신탁 출시 | CoinNess",-1
流入以太坊为主的智能合约平台的资产从100亿美元增加到1000亿美元 | 코인니스,-1
지난주 비트코인 채굴자 일평균 수익 2947만 달러 | CoinNess,-1
多链DeFi平台Rubic将于明日推出BSC Polygon桥接并集成BSC上SushiSwap | CoinNess,-1
多鏈DeFi平台Rubic將於明日推出BSC Polygon橋接並集成BSC上SushiSwap | CoinNess,-1
巴拉圭议员：关于BTC的大日子终于到来了 | CoinNess,-1
작년 10월 이후 스마트 컨트랙트 플랫폼 유입 자산 10배 급증 | CoinNess,-1
欧易OKEx将于7月15日9:00开放CFG/USDT交易 | 코인니스,-1
ShapeShift将关闭公司实体，并向DeFi投资者空投 3.4 亿个 FOX 代币 | 코인니스,-1
分析师：2021 年以太坊交易额有望达到8 万亿美元 | 코인니스,-1
英国艺术家Damien Hirst为NFT启动2000万美元的实验 | CoinNess,-1
摩根大通和瑞银正对加密货币对冲基金进行调研 | CoinNess,-1
"셰이프쉬프트, 운영 중단... 3.4억 FOX 에어드랍 | 코인니스",-1
"애널리스트 ""2021년 ETH 거래규모 8조 달러 전망"" | 코인니스",-1
马耳他金融服务管理局重申币安未获授权在该国开展业务 | CoinNess,-1
币世界晚行情：BTC晚间震荡上行至32800 USDT附近 | CoinNess,-1
Blocknative融资1200万美元以追踪加密交易 | CoinNess,-1
"코인베이스 프로, MASK·RLY 상장 | CoinNess",-1
KCS突破12 USDT | 코인니스,-1
Coinbase Pro将上线MASK和RLY | 코인니스,-1
"외신 ""JP모건·UBS, 암호화폐 헤지펀드 실사 中"" | 코인니스",-1
稳定币协议Onomy与Avalanche合作构建跨链稳定币经济 | 코인니스,-1
美联储主席：数字货币风险真实存在 稳定币需要适当监管框架 | CoinNess,-1
美联储主席：稳定币类似货币市场基金等方面的投资 | 코인니스,-1
美联储主席：最新的通胀数据比预期的要高 | 코인니스,-1
"몰타 금융당국, 바이낸스에 ""운영 권한 없다""... 재차 경고 | 코인니스",-1
美联储主席：货币政策仍应高度宽松 | 코인니스,-1
美联储主席：正加快作出关于数字货币的决策 | 코인니스,-1
 美联储主席：CBDC或会排除对稳定币和加密货币的需求 | 코인니스,-1
美联储主席：稳定币需以类似货币市场和银行存款的方式进行监管 | 코인니스,-1
"파월 연준 의장 ""9월초 CBDC 보고서 발표... 스테이블코인 규제 필요"" | CoinNess",-1
NFL明星Saquon Barkley将以比特币形式获得代言费 | 코인니스,-1
美国SEC再次推迟对WisdomTree比特币ETF做出决定 | 코인니스,-1
"美 SEC, 위즈덤트리 BTC ETF 승인 결정 또다시 연기 | CoinNess",-1
美联储主席：应将高通胀看作是暂时的 除非它年年持续 | 코인니스,-1
美联储主席：仍预测通胀会下降 美联储不应过早采取行动 | 코인니스,-1
盘和林：预测未来全国范围内将关停虚拟货币挖矿项目 | CoinNess,-1
狗狗币创始人：加密货币行业被富人垄断 因此不会回归加密货币  | CoinNess,-1
美国证交会指控ICO评级网站违反证券法并对其处以罚款 | 코인니스,-1
"도지코인 창시자 ""암호화폐, 부유층 카르텔에 의해 통제"" | 코인니스",-1
美联储主席：美联储正处于非常早期的数字货币设计阶段 | 코인니스,-1
BTC突破33000 USDT | 코인니스,-1
TRX突破0.06 USDT | 코인니스,-1
甲骨文与金融技术提供商Everest合作将区块链引入全球银行 | 코인니스,-1
民生加银基金钟伟：虚拟货币很难成为未来国际货币主流型态 | CoinNess,-1
美联储主席：正考虑缩减购债 将于本月会议进行讨论 | CoinNess,-1
"SEC ""코인스케줄, ICO 발행사 대상 부당이득 챙겨"" 20만 달러 벌금 | 코인니스",-1
Skrill扩展加密钱包服务 新增20种加密货币 | 코인니스,-1
"스크릴, 암호화폐 월렛에 20종 암호화폐 추가... 서비스 확장 | 코인니스",-1
BTC预计3天6小时后下调挖矿难度7.26%至13.32 T | CoinNess,-1
美股收盘：三大股指涨跌不一 美股区块链板块收跌3.10% | 코인니스,-1
美 증시 3대 지수 혼조 마감… 블록체인 테마주 3.10% 하락 | 코인니스,-1
ARK基金创始人：对比特币在ESG方面的担忧将是暂时的 | CoinNess,-1
Cardano测试网Alonzo已硬分叉至新的Alonzo White节点 | 코인니스,-1
V神将参与以太坊相关新纪录片的访谈  | 코인니스,-1
"카르다노 ""테스트넷, 알론조 화이트 노드에 성공적 하드포크"" | 코인니스",-1
Bitfarms今年上半年已开采1357枚BTC 计划7月份开采超400枚BTC | CoinNess,-1
"비탈릭, ETH 다큐멘터리 촬영 참여... 스틸컷 공개 | 코인니스",-1
奢侈品牌杜嘉班纳推出独家NFT系列 | 코인니스,-1
观点：美国应把握机会发展加密技术 DeFi改变世界经济只是时间问题 | 코인니스,-1
实验音乐人Holly Herndon推出由DAO控制的语音模拟平台 | 코인니스,-1
数据：比特币闪电网络节点数为22793个 | 코인니스,-1
以太坊Gas费升至96 Gwei | 코인니스,-1
이더리움 네트워크 평균 Gas 비용 26 Gwei | 코인니스,-1
"트라이엄프엑스, 크리에이티브 디렉터로 '미남컴퍼니' 이우성 대표 합류 | CoinNess",-1
币世界早行情：BTC持续在32800 USDT附近窄幅震荡 | CoinNess,-1
"애널리스트 ""디파이, 세계 경제 바꾸는 건 시간문제"" | 코인니스",-1
"BTC 라이트닝 네트워크 노드 수, 전월比 6.22%↑ | 코인니스",-1
币世界早内参：姆努钦表示购买BTC没问题 鲍威尔称CBDC或减少加密需求 | 코인니스,-1
"캐나다 채굴 기업 비트팜, 올 상반기 1357 BTC 채굴 | 코인니스",-1
Crypto Traders无法在美国SEC诉讼中申请破产 | CoinNess,-1
Gemini联合创始人：美国的数字货币不会让比特币过时 | 코인니스,-1
"日本加密货币骗局""Oz计划""曾获新加坡主流加密货币交易所支持 | 코인니스",-1
DeFi Education Fund回应UNI抛售：有一定自主决定权，会在90天内发布年度预算报告 | 코인니스,-1
"크립토닷컴, '미스터리 박스' 2차 NFT 드롭 진행 | 코인니스",-1
"제미니 창업자 ""디지털 달러 출시돼도 비트코인 효용성 그대로일 것"" | 코인니스",-1
数字足球收藏品平台Sorare预计将获得5.32亿美元融资 | 코인니스,-1
"50만 UNI 매도 DEF ""매도량 일 거래량의 5% 미만, 운영비 확보 차원"" | 코인니스",-1
以太坊二层解决方案 zkSync 1.x 主网升级完成 | CoinNess,-1
"소식통 ""블록체인 축구 게임 소레어, 6098억 원 투자 유치"" | 코인니스",-1
调查：目前比特币是继科技股和ESG之后的第三大最拥挤交易 | 코인니스,-1
zkSync 1.x 메인넷 업그레이드 완료 | 코인니스,-1
TriumphX聘请MINAMCOMPANY首席执行官Woo-Seong Lee担任创意总监 | 코인니스,-1
TriumphX聘請MINAMCOMPANY首席執行官Woo-Seong Lee擔任創意總監 | 코인니스,-1
2021Poriot高峰论坛（柳州站）圆满成功 | 코인니스,-1
2021Poriot高峰論壇（柳州站）圓滿成功 | CoinNess,-1
斯派克·李加密货币电视广告“货币中的货币”已发布 | 코인니스,-1
V神将出镜的一部以太坊纪录片将通过NFT筹款750 ETH | 코인니스,-1
Unicly联合SushiSwap推出的首个NFT碎片化拍卖已结束 | 코인니스,-1
"비탈릭 참여한 ETH 다큐, NFT 발행해 750ETH 모금 중 | 코인니스",-1
Bithumb通过合规管理体系国际标准认证 | 코인니스,-1
"돌체앤가바나, NFT 독점 컬렉션 출시 | 코인니스",-1
"캐시우드 ""비트코인, ESG 관점에서 매력적"" | 코인니스",-1
迈阿密热火推出2006年NBA总冠军纪念收藏NFT | 코인니스,-1
以太坊客户端 OpenEthereum 新版本加入主网伦敦升级区块高度 | 코인니스,-1
ETH Tops List Of Crypto Net Inflow With $298.96 Mln In Past 10 Hours | CoinNess,-1
过去10小时ETH资金净流入超过2.99亿美元 | 코인니스,-1
실시간 암호화폐 자금 흐름 | 코인니스,-1
国家统计局：2021上半年GDP增长12.7%  | 코인니스,-1
"NBA 구단 마이애미 히트, NFT 컬렉션 경매 출품 | 코인니스",-1
美国计划通过加密追踪对抗勒索软件攻击 | 코인니스,-1
TriumphX Scouts 'MINAMCOMPANY' CEO Woo-Seong Lee As Creative Director | 코인니스,-1
高性能扩展平台Interlay完成300万美元种子轮融资，IOSG领投 | 코인니스,-1
"오픈이더리움, 3.3.0-rc.4 버전 출시 | 코인니스",-1
比特币全网平均算力再次突破100E | 코인니스,-1
"금융위 ""4대 거래소만 계좌 받게 했다?…사실 아냐"" | 코인니스",-1
비트코인 해시레이트 회복세.. 100 EH/s 회복 | 코인니스,-1
今日恐慌与贪婪指数为20 恐慌程度有所上升 | CoinNess,-1
"빗썸, BEP-20 계열 가상자산 출금 일시 중지 | 코인니스",-1
加密公司Credmark将于7月19日推出SmartPool | 코인니스,-1
크립토 '공포·탐욕 지수' 20... 극단적 공포 지속 | 코인니스,-1
7월 15일 코인니스 데일리 선물 차트 분석 | 코인니스,-1
"美 정부 ""랜섬웨어에 암호화폐 이용, 단속할 것"" | 코인니스",-1
FTX慈善基金会DOTA友谊赛将于7月17日开赛 | 코인니스,-1
FTX慈善基金會DOTA友誼賽將於7月17日開賽 | 코인니스,-1
"‘업비트 원화마켓 상폐’ 곤욕 치른 페이코인, 결국 빗썸 간다 | 코인니스",-1
Clover Finance即将进行代币生成活动（TGE） | 코인니스,-1
TOKAU与美国银行Paybby达成合作 | 코인니스,-1
TOKAU與美國銀行Paybby達成合作 | CoinNess,-1
香港逮捕涉嫌虚拟货币洗钱1.55亿美元的四名嫌疑犯 | 코인니스,-1
"오리진 프로토콜, 사진작가 마이클 야마시타 NFT 컬렉션 경매 | 코인니스",-1
DeFi保险协议Cover Protocol发布V2版本 | 코인니스,-1
"홍콩 세관, 1.55억 달러 규모 암호화폐 자금세탁 첫 적발 | CoinNess",-1
Crypto.com价格页面集成Polygon (MATIC) RSS新闻提要 | 코인니스,-1
"커버 프로토콜 V2 릴리즈, 블루 풀 유동성 채굴 프로그램 공개 | 코인니스",-1
币世界同城会社群邀你入群！ | 코인니스,-1
深圳男子有偿帮境外客户购买比特币卷入网络诈骗案被公诉 | 코인니스,-1
币世界午行情：BTC小幅下行至32700 USDT附近 | 코인니스,-1
"OKEx, 센트리퓨지 CFG 상장 | 코인니스",-1
BTC跌破32500 USDT | CoinNess,-1
火币全球站已暂停CSPR充提业务 | 코인니스,-1
"크로스파이, 오늘 21시 AMA 진행 | 코인니스",-1
DeFi协议ApeRocket官方：闪电贷共造成126万美元损失，将在BSC上发布V2以重启 | 코인니스,-1
数据：推特账户对加密货币关注度呈下降趋势 | 코인니스,-1
"플래시론 공격 피해 에이프로켓 ""126만달러 손실"".. 피해자 배상 예정 | 코인니스",-1
塞浦路斯证券交易委员会（CySEC）正制定加密货币资产服务提供商规则 | 코인니스,-1
O(1) Labs首席执行官Evan Shapiro将担任Mina基金会首席执行官 | 코인니스,-1
암호화폐 관련 트위터 계정 신규 팔로워 수 감소세 | 코인니스,-1
以太坊客户端Erigon发布v2021.07.03版本，配置中添加伦敦升级区块 | 코인니스,-1
"키프로스 공화국 당국 ""암호화폐 관련 지침 마련 중"" | 코인니스",-1
Alpha Finance Lab：约1.02亿枚ALPHA正在被质押 | 코인니스,-1
"이더리움 클라이언트 Erigon, 2021.07.03 버전 출시 | 코인니스",-1
에이프로빗 실시간 주요 암호화폐 시세 | CoinNess,-1
PeckShield：Bondly Finance 遭到攻击 | 코인니스,-1
ARK方舟基金昨日买入超15.6万股Coinbase股票 | 코인니스,-1
"펙실드 ""본들리 파이낸스, 먹튀 의혹"" | 코인니스",-1
"ARK 인베스트 ETF, 전날 코인베이스 주식 15.6만주 매수 | 코인니스",-1
美国比特币投资者因SIM卡Swap攻击起诉T-Mobile | 코인니스,-1
