Text,Price
지난주 비트코인 채굴자 일평균 수익 만 달러,-1
작년 월 이후 스마트 컨트랙트 플랫폼 유입 자산 배 급증,-1
셰이프쉬프트 운영 중단 억 에어드랍,-1
애널리스트 년 거래규모 조 달러 전망,-1
코인베이스 프로 상장,-1
외신 모건 암호화폐 헤지펀드 실사,-1
몰타 금융당국 바이낸스에 운영 권한 없다 재차 경고,-1
파월 연준 의장 월초 보고서 발표 스테이블코인 규제 필요,-1
위즈덤트리 승인 결정 또다시 연기,-1
도지코인 창시자 암호화폐 부유층 카르텔에 의해 통제,-1
코인스케줄 발행사 대상 부당이득 챙겨 만 달러 벌금,-1
스크릴 암호화폐 월렛에 종 암호화폐 추가 서비스 확장,-1
증시 대 지수 혼조 마감 블록체인 테마주 하락,-1
카르다노 테스트넷 알론조 화이트 노드에 성공적 하드포크,-1
비탈릭 다큐멘터리 촬영 참여 스틸컷 공개,-1
이더리움 네트워크 평균 비용,-1
트라이엄프엑스 크리에이티브 디렉터로 미남컴퍼니 이우성 대표 합류,-1
애널리스트 디파이 세계 경제 바꾸는 건 시간문제,-1
라이트닝 네트워크 노드 수 전월,-1
캐나다 채굴 기업 비트팜 올 상반기 채굴,-1
크립토닷컴 미스터리 박스 차 드롭 진행,-1
제미니 창업자 디지털 달러 출시돼도 비트코인 효용성 그대로일 것,-1
만 매도 매도량 일 거래량의 미만 운영비 확보 차원,-1
소식통 블록체인 축구 게임 소레어 억 원 투자 유치,-1
메인넷 업그레이드 완료,-1
비탈릭 참여한 다큐 발행해 모금 중,-1
돌체앤가바나 독점 컬렉션 출시,-1
캐시우드 비트코인 관점에서 매력적,-1
실시간 암호화폐 자금 흐름,-1
구단 마이애미 히트 컬렉션 경매 출품,-1
오픈이더리움 버전 출시,-1
금융위 대 거래소만 계좌 받게 했다 사실 아냐,-1
비트코인 해시레이트 회복세 회복,-1
빗썸 계열 가상자산 출금 일시 중지,-1
크립토 공포 탐욕 지수 극단적 공포 지속,-1
월 일 코인니스 데일리 선물 차트 분석,-1
정부 랜섬웨어에 암호화폐 이용 단속할 것,-1
업비트 원화마켓 상폐 곤욕 치른 페이코인 결국 빗썸 간다,-1
오리진 프로토콜 사진작가 마이클 야마시타 컬렉션 경매,-1
홍콩 세관 억 달러 규모 암호화폐 자금세탁 첫 적발,-1
커버 프로토콜 릴리즈 블루 풀 유동성 채굴 프로그램 공개,-1
센트리퓨지 상장,-1
크로스파이 오늘 시 진행,-1
플래시론 공격 피해 에이프로켓 만달러 손실 피해자 배상 예정,-1
암호화폐 관련 트위터 계정 신규 팔로워 수 감소세,-1
키프로스 공화국 당국 암호화폐 관련 지침 마련 중,-1
이더리움 클라이언트 버전 출시,-1
에이프로빗 실시간 주요 암호화폐 시세,-1
펙실드 본들리 파이낸스 먹튀 의혹,-1
인베스트 전날 코인베이스 주식 만주 매수,-1
본들리 파이낸스 공격 피해 인정 거래 중지 요청,-1
미디움 한국조폐공사 블록체인 테스트베드 환경구축 수행기관 낙찰,-1
크림파이낸스 아이언 뱅크 와 담보 만 달러 대출 실행,-1
미래에셋 미국서 첫 블록체인 상장,-1
펙실드 과거 여러 스캠과 관련,-1
메타마스크 린케비 테스트넷서 호환 첫 트랜잭션 완료,-1
쿠사마 차 슬롯 경매 크라우드론 만 락업,-1
포블게이트 실시간 주요 암호화폐 시세,-1
클로버 파이낸스 크로스체인 트랜잭션 익스플로러 출시,-1
중국 해시레이트 점유율 개월 간 하락,-1
위메이드 빗썸 최대주주 비덴트 투자 대 주주 올라,-1
파라과이 의원 비트코인 법안 파라과이 채굴 투자자 법적 재정적 보장 제공,-1
레볼루트 억 달러 투자 유치 소프트 뱅크 등 참여,-1
프로젝트위드 한국여자축구연맹과 파트너십 체결,-1
스위스 은행 피카소 작품 소유권 토큰화 판매 예정,-1
미디어 대 코인거래소까지 실명계좌 장담 못한다,-1
뉴욕 채굴업체 그리니지 파운드리로부터 대 채굴기 인수,-1
데이터 채굴자 채굴 수익 월간 총 만 수준 회복,-1
후오비 글로벌 월 총 만 소각,-1
이탈리아 금융당국 바이낸스 현지 영업 허가 없다,-1
빗썸글로벌 빗썸싱가포르 빗썸 브랜드 못 쓴다,-1
실시간 암호화폐 자금 흐름,-1
비트코인 채굴기 대 추가 구매,-1
바이비트 암호화폐 현물 거래시장 진출,-1
분간 하락 현재 달러,-1
바이낸스 약 억 추가 발행,-1
낙폭 확대 달러선 일시 반납,-1
엄브렐라네트워크 체인스왑 해킹 피해 복구 방안 공개,-1
웨일폴 보유 주소 수 개 돌파,-1
정부 무역금융 블록체인 표준 시스템 구축 예정,-1
치아 채굴풀 신규 풀링 프로토콜 출시,-1
분간 상승 현재 달러,-1
데이터 비트코인 네트워크 접속 가능 노드 수 역대 최고 수치 기록,-1
미국 투자업체 플라워 암호화폐 거래소 운영사 지분 인수,-1
금융 스페셜 탭 및 스테이킹 예치 상품 출시,-1
중국 최대 블록체인 미디어 운영 종료,-1
분간 상승 현재 달러,-1
구글 비트코인 가격 키워드 검색량 최근 개월 최저 수치 기록,-1
백트 스마트 컨트랙트 개발사 디지털 애셋 전 영입,-1
파월 아직 장점이 단점보다 큰지 결정 못했다,-1
저스틴 선 아티스트 예술 시장 미래 선점할 것,-1
윌리 우 비트코인은 탈중앙화 금,-1
아르헨티나 프로 축구 부 리그 소시오스닷컴 토너먼트 로 명칭 변경,-1
공지사항 코인니스 마켓 서비스 점검,-1
국무부 사이버 테러 제보 보상금 지급 수단에 암호화폐 추가,1
법무부 바이낸스에 범죄수사 지원 감사 편지 요청 거절,1
파월 의장 암호화폐 결제 매커니즘 되는 데 완전히 실패,1
시카고 연은 총재 필요성 의문 들어,1
랜섬웨어 공격자 피해기업 간 암호화폐 거래 추적,1
달러 반납,1
하원의원 디지털 자산 증권법상 상품으로 취급하는 법안 발의,1
태국 대 은행 리플넷 라이선스 취득,1
채권왕 개인적으로 보유하지 않을 것,1
영국 젊은 암호화폐 투자자 리스크 경고 캠페인 계획,1
국제 유가 하락 달러,1
코인베이스 프로 상장,1
채굴업체 컴패스 원자력 공급업체와 년 파트너십 체결,1
페이팔 미국 이용자 암호화폐 구매 한도 상향조정,1
블룸버그 포트폴리오 배분 샤프지수 상승 효과,1
트위터 중점 개발자 플랫폼 서비스 계획,1
토르체인 해킹공격 받아 만 피해,1
스탠다드 차타드 은행 지원 커스터디 업체 영국 라이선스 취득,1
트라이엄프엑스 탈중앙화 엔터테인먼트 기업 엑스팝과 체결,1
캐나다 최대 비트코인 펀드 최근 한 달 보유량 약 감소,1
토르체인 네트워크 공격 피해액 약 만 아냐,1
에프앤가이드 두나무 가상화폐 톱 디지털자산지수 발표,1
메티스 여성 엔지니어 채용 확대할 것,1
이더리움 도메인 서비스 월 주소 수 만 개 증가,1
마켓 전략가 테슬라 빅테크주와 디커플링 비트코인 영향,1
경찰 뱅크 가상화폐 투자사기 혐의 수사,1
바이낸스 브라질 지사 임원 취임 개월만에 사임,1
데이터 비트코인 공급량 아직 수익권,1
액시 인피니티 몬스터 배틀 스포츠 대회 지원 총 상금풀,1
토카막 네트워크 블록체인 엑셀러레이터 디스프레드와 파트너십,1
플라이빗 기반 모바일 앱 출시,1
폴리마켓 예측시장 월 카르다노 스마트 컨트랙트 활성화 여부 베팅 오픈,1
뉴욕 자이언츠 사콘 바클리 광고협찬비 전액 비트코인으로 환전할 것,1
비블록 거래소 내부감사 진행,1
데이터 보유 주소 월 일 이후 만 추가 보유,1
시티코인 컨트랙트 스택스 메인넷에 배포,1
렛저 파일코인 지원 시작,1
해킹 공격 피해 본들리 토큰 재발행 예정,1
법원 증권 아니다 발언 관계자 청문회 증인 요청,1
리서치 다시 만원대 올해 최장기 횡보 중,1
가트너 블록체인 기술 하이프사이클 상 계몽 단계 진입,1
일본 금융청 디지털화폐 디파이 감독 부서 설립,1
스케일스왑 일 첫 진행,1
빗썸 거래지원 종료 투자유의종목 지정 연장,1
에이프로빗 실시간 주요 암호화폐 시세,1
썸씽 모빌리티 기반 신개념 뮤직토크쇼 텔미썸씽 선공개,1
미국 잭슨카운티 비트코인 재산세 납부 허용 예정,1
바이낸스 스마트 체인 기반 출시,1
금융위 암호화폐 거래소 신고 유예 연장 없다,1
디비전 네트워크 써틱 의뢰 스마트 컨트랙트 보안 검증 완료,1
솔라나 기반 스테이블코인 스왑 플랫폼 세이버 유동성 채굴 보상 프로그램 시작,1
어나니머스 새 암호화폐 아논 이누 공개 머스크 대항 목적,1
한전 전력연구원 삼성과 에너지 블록체인 플랫폼 개발 추진,1
인민은행 디지털 위안화 본원통화 개념 적용 금리 적용 안한다,1
거래량 억달러 전분기 대비,1
인민은행 디지털 위안화 소액 결제 익명성 보장,1
크립토퀀트 대표 비트코인 매도 압력 높아 보인다,1
공식 웹사이트 개편,1
톤스타터 유동성 마이닝 시작,1
리투아니아 규제당국 바이낸스에 무허가 영업 경고,1
인민은행 단기 방문 외국인 은행계좌 없어도 디지털 위안화 월렛 사용 가능,1
비트메인 채굴자 트레이닝 센터 재오픈 미국 접수 시작,1
빅원 오늘 시 상장,1
피터 시프 갤럭시디지털 주가 하락세 지속 비트코인에 좋은 징조 아냐,1
월 들어 블록체인 공격사건 차례 발생 피해액 만달러 상회,1
라토큰 일 마켓에 상장,1
바이낸스 오는 월 주식 토큰 지원 종료,1
중국 디지털 위안화 연구 성과 백서 발간 테스트 금액 억 달러,1
폴리곤 및 게임 관련 서비스 출시 예정,1
인디고차일드 웨일폴 생태계 슈림프 노드 선거 위 선출,1
서베이 암호화폐 전문가 년까지 만 달러 도달 예상,1
솔라나 도메인 경매 최고가는 누적 건,1
홍콩 증감회 바이낸스 그룹 홍콩서 승인 등록 안 받아,1
코인베이스 기존 금융 시스템 일반인이 투자로 부자되는 것 불법화해,1
경제학자들 제롬 파월 미 연준 의장 내년 연임될 것,1
델타세타 상장,1
외신 전 리플 핵심 파트너사 머니그램 사모펀드에 인수될 수도,1
국채 년물 금리 로 상승,1
소식통 비트코인 선물 거래 승인,1
스테이블 코인 총 공급량 억 달러 돌파,1
메사리 올해 이더리움 온체인 거래량 조 달러 신기록 예상,1
메사리 올해 이더리움 온체인 거래량 조 달러 신기록 예상,1
외신 메타마스크 기반 전액 이체 오류 발생,1
외신 상승 전환 움직임 채굴자 보유액 증가,1
채굴 난이도 감소 전망 년 월 수준,1
소프트뱅크 자회사 불리시에 만 달러 투자,1
바이낸스 독일 파트너사 주식 토큰 지원 중단 비즈니스를 위한 결정,1
옐런 재무장관 일 스테이블코인 관련 대통령 실무그룹 회의 소집,1
시가총액 억 달러 돌파 시총 위권 진입,1
테라폼랩스 억 달러 규모 생태계 기금 조성,1
대규모 이체 억 만 달러 규모 익명 익명,1
소더비 초고가 다이아몬드 만 달러 낙찰 암호화폐 결제,1
외신 달러 지수 차트 강세 전환 패턴 형성 만 달러 수성 위기,1
트레이더 알라메다 매입 중,1
디지털 위안화 시범 사업장 만 개 돌파,1
폴란드 금융감독청 바이낸스 서비스 사용 여부 투자자가 직접 선택,1
구겐하임 만 달러 지지선 지키는데 실패할 것,1
창시자 스테이블코인 프로토콜 제드 신중하게 접근,1
그레이스케일 암호화폐 운용 자산 약 억 달러,1
팬케이크버니 폴리곤 버전 공격 받아 풀 중단,1
그레이스케일 일 연속 매입,1
몇주째 신규 발행 없어 중국 규제 영향 등,1
미 연준 경기 부양 보조금 중 가 로 유입,1
자비스랩스 년 생성 월렛서 만 이동,1
만 코인베이스 프로로 입금 후 다시 외부로 출금,1
이더리움 공동 창업자 암호화폐 업계 떠난다 월렛 개발사 매각 예정,1
비자 마스터카드 바이낸스 관련 각국 규제 동향 모니터링 중,1
코인베이스 프로로 입금,1
웨일폴 시가총액 억원 돌파,1
다이노스왑 유동성 채굴 보상 토큰 출시,1
카르다노 기반 플랫폼 스포어스 만달러 유치,1
엘살바도르 자체 스테이블코인 발행 가능성 제기,1
말레이시아 경찰 압수한 암호화폐 채굴기 대 분쇄,1
네바다주 석유회사 비트코인 채굴기 최대 만대 배치 계약 체결,1
일 저스트스왑 상장,1
크립토 공포 탐욕 지수 극단적 공포 지속,1
해킹당해 암호화폐 증발 소송 법원 거래소 탓 아냐,1
플래시론 공격 피해 팬케이크버니 폴리곤 스시 볼트 재오픈,1
랜 노이너 오늘 만 코인베이스 유입 내부 월렛간 이체,1
웨일폴 제 차 소각 진행 약 억 소각,1
멀티체인 디파이 플랫폼 루빅 하모니와 파트너십 체결,1
와이즈비트코인 일 입금 보너스 이벤트 출시 예정 공지,1
암호화폐 정보 플랫폼 트로들 폴리곤 체인 마이그레이션 완료,1
솔라나 기반 디파이 프로토콜 아큐먼 스위치보드와 파트너십 체결,1
팀 드레이퍼 년 연말 혹은 년 연초 만 달러 전망,1
컨센시스 창업자 런던 하드포크 이더리움 수요 및 가치 상승 전망,1
코인니스 뉴스 제공 시간 안내,-1
코인니스 일요일 주요 뉴스 브리핑,-1
바이낸스 제 차 정기 소각 약 만 소각 완료,-1
월가 대표 비관론자 타이스 지금 매수는 위험해,-1
와이즈비트코인 일 입금 보너스 이벤트 실시,-1
옵션룸 체인스왑 해킹 관련 에어드랍 진행,-1
치아 창시자 장기간 치아 토큰 보유할 것,-1
분석 미국 스테이블코인 관련 가지 규제 옵션 보유,-1
인도 중앙은행 블록체인 성장 가속화 해야,-1
이번주 규모 보호예수 물량 해제,-1
크림파이낸스 와 첫 대출 출시,-1
마라톤 디지털 채굴업체 만곳 미국 이전 타진,-1
옐런 재무장관 오늘 스테이블코인 대통령 실무그룹 회의 소집,-1
세르비아 유명 트레이더 모든 암호화폐 마켓 떠난다,-1
바이낸스 수익 전분기 대비 약 감소 추정,-1
대퍼랩스 전 약세장서 투기 유행,-1
베이시스 렌딩 폴리곤 네트워크 서비스 시작,-1
부산시 통합전자지갑 비 패스 오늘 서비스 시작,-1
분석 엑시 인피티니 등 모델 토큰 가치 장기지속 가능,-1
안티매터 새 토큰 에어드랍,-1
에이프로빗 실시간 주요 암호화폐 시세,-1
체인스왑 신규 토큰 컨트랙트 보안 감사 진행 일 에어드랍,-1
블록체인 전문기업 미디움 상반기 실적 발표,-1
탈중앙화 거래소 세이버 솔라나 기반 거래풀 출시,-1
쿠도스 월 일 온체인 스테이킹 서비스 출시,-1
가상자산가치평가원 국내외 가상자산 프로젝트 평가 보고서 발표,-1
외신 홍콩매체 사업 진출,-1
데이터 비트코인 네트워크 수수료 월들어 감소세 지속,-1
농협금융 암호화폐 메타버스 등 투자환경 변화 주도,-1
외신 호주 증권거래소 블록체인 업그레이드 고객사 부담 비용 증가,-1
분석 암호화폐 큰 변동성 뮤추얼 패시브 펀드 부재 때문,-1
데이터 암호화폐 거래소 일일 순 유입량 개월 최고치 기록,-1
후오비코리아 신규가입 인스타그램 거래왕 프로모션 진행,-1
전체 암호화폐 시총 월 최고점 대비 감소,-1
아크인베스트먼트 비트코인 플랜 발표한 스퀘어 주식 매입,-1
만 달러 규모 토큰 바이백 소각 완료,-1
터키 재무부 차관 암호화폐 거래 등 관련 법안 월 의회 상정,-1
후오비코리아 오늘의 상승 코인,-1
크립토 공포 탐욕 지수 극단적 공포 지속,-1
만 달러 시리즈 투자 유치,-1
금융청 분산 금융 대응방안 연구회 출범 암호화폐 거래소 관계자는 제외,-1
마젤란파이낸셜 창업자 거품 터지면 비트코인 가치 된다,-1
시총 비중 월 중순 대비 약 포인트 상승,-1
비탈릭 부테린 출연 다큐 일 만에 자금 조달,-1
신한금융 코인 투자 많으면 대출 축소,-1
체인엑스 한밤중 개 상폐 공지하고 원화입금 중지,-1
폴 크루그먼 스테이블코인 현대판 프리뱅킹 위기에 봉착할 것,-1
애널리스트 연내 신고가 갱신할 것,-1
바이비트 비트코인 보유자 증가세 지속,-1
리튬파이낸스 월 일 폴카스타터서 진행,-1
이더마인 수익 전체 채굴자에 분배키로,-1
데이터 주요 거래소 거래량 개월래 최저 수준,-1
랩스 설립자 기관 투자자 장기적 성장 확신,-1
샌티멘트 만달러 도달 시점 투표 진행 년 선두,-1
지난주 일평균 거래량 전주 대비 증가,-1
인도 당국 와지르엑스에 암호화폐 출금 관련 소명 요구,-1
녹색 채굴 기업 억 달러 자금조달 계획,-1
그레이스케일 디파이 펀드 출시,-1
약세 지속 달러선 반납,-1
외신 로빈후드 서 억 달러 가치 평가 모색,-1
그레이스케일 전환 노력 중,-1
외신 우크라이나 당국이 압수한 플스 코인 채굴 용도 아니야,-1
칠리즈 아스날 팬토큰 출시,-1
케냐 선관위 위원 후보 선거에 블록체인 도입 시 비용 절감,-1
국채 년물 금리 로 하락세,-1
피터 브랜트 도지코인 헤드앤숄더 패턴 따라 하락 가능성,-1
미 공화당 의원 베이징 올림픽서 디지털 위안화 사용 제한해야,1
분석 랠리 후 급락 추가 하락 가능성,1
리플 파트너 니움 피도르은행 비자 페이도 앱과 파트너십,1
코인베이스 유동성 늘리려 투자자 유인 만 달러 집단 손배소,1
대규모 이체 억 원 규모 제미니 익명,1
외신 암호화폐 투자 펀드 비트코인 이더리움,1
로빈후드 소매 거래 둔화 암호화폐 감소 특히 두드러져,1
로이터 스페인 팬데믹 기간 현금 사용 퇴출 추세 디지털유로화 필요성,1
리플 위원의 최근 성명 이용해 소송 각하 추진,1
매체 디지털 위안화 띄우기 비트코인보다 편리하고 개방적,1
비트루 거래소 카르다노 블록체인 기반 자산 지원 예정,1
암호화폐 결제 앱 개발업체 사기 혐의로 기소,1
증시 대 지수 하락 마감,1
로스차일드 인베스트먼트 주식 추가 매입,1
그레이스케일 암호화폐 운용 자산 약 억 달러,1
옐런 재무장관 스테이블코인 규제 프레임워크 신속히 구축,1
분석 현재 비트코인 판매자 대다수 적자 기록,1
빗썸 실시간 주요 암호화폐 시세,1
비트렉스 글로벌 상장,1
레전드 서퍼 켈리 슬레이터 자체 암호화폐 발행 계획,1
폴리곤 블록체인 게임 개발 추진 자회사 설립,1
일론 머스크 잭 도시 캐시 우드 비트코인 토론 예정,1
넥슨 유럽거래소 비트스탬프 억 추가 투자,1
플랫폼 디파인 억 투자 유치,1
업비트 상반기 매출 조 첫 돌파,1
달러 반납,1
노셔널 월 릴리즈 및 토큰 발행,1
유통량 만 만 달러 구간서 거래,1
뉴저지주 암호화폐 대출 플랫폼 블록파이에 증권법 위반 혐의 적용,1
크립토 공포 탐욕 지수 극단적 공포 지속,1
유명 복서 타이슨 퓨리 만 달러에 낙찰,1
설립자 이더리움 기반 트위터 구축 추진,1
디비전 네트워크 소셜 마켓 플레이스 트윈치와 파트너십 체결,1
만달러 반납 이후 처음,1
블록파이 부터 뉴저지 고객 이자계정 개설 중단 명령 받아,1
더나인 컴퍼니 코리아 키오스크에 코인 결제 시스템 도입,1
블록파이 증권 아냐 뉴저지 증권국 조치에 비동의,1
지난 시간 억 달러 선물 포지션 강제청산,1
피델리티 서베이 기관투자자 년까지 암호화폐 보유 계획,1
데이터 지난주 일평균 수수료 유니스왑 에도 못 미쳐,1
에이프로빗 실시간 주요 암호화폐 시세,1
한은 모의실험 사업자 카카오 그라운드 선정,1
로빈후드 뉴욕 당국과 암호화폐 관련 만 달러 벌금 합의,1
엘뱅크 상장,1
후오비코리아 전 임직원 자사 거래소 매매 금지,1
평균 거래 수수료 작년 월 이후 최고,1
테더 시장 폭락해도 스테이블 코인 성장 가능,1
메이커다오 옵티미즘 브릿지 론칭,1
베네수엘라 비트코인 채굴 박물관 개관,1
기반 마켓플레이스 리바이벌 출시,1
포블게이트 실시간 주요 암호화폐 시세,1
채굴자들 거래소로 송금,1
전 구글 프로덕트 매니저 라이트닝 랩 합류,1
비트멕스 알트코인 디파이 바스켓 지수 출시,1
바이프로스트 쿠사마 차 슬롯 경매 낙찰,1
지난주 리뷰 차 거래 시장 거래량 거래 가격 동반 상승,1
외신 고래 주소 채굴자 매도 물량 흡수 중,1
크립토닷컴 카드 결제 사용 가능 암호화폐 개 신규 추가,1
창업자 옐런 스테이블코인 규제 강조 업계에 긍정적 영향,1
데이터 년 휴면 고래 지난주 억 달러 규모 매입,1
모건 자산운용 대다수 고객 새로운 자산 유형으로 인식,1
오스프리 펀드 비트코인 출시 승인 빨라도 내년,1
마켓 오픈시 억 달러 투자 유치 주도,1
팬케이크스왑 이번주 만 소각 완료 만 달러 규모,1
리서치 비트코인 만 달러선 붕괴 채굴자 매도량 증가,1
메티스 자체 개발 미들웨어 출시 예정,1
크립토닷컴 메인넷 호환 체인 크로노스 테스트넷 공개,1
글로벌 투자은행 암호화폐 검증되지 않은 자산,1
시장 큰 손 러퍼 인베스트 단기적으로 투자 힘들 것,1
마스터카드 스테이블코인 활용한 암호화폐 결제 테스트 진행,1
외교부 정치권 디지털 위안화 갖고 시비 걸지 마,1
오늘 시 상장,1
외신 주식 시장 위험 회피 심리 암호화폐 하락 야기,1
바이낸스 풀 일 채굴 서비스 중단,1
제 차 바이백 및 소각 완료,1
엑시인피니티 서버 최적화 작업 일부 기능 지연 가능성,1
애니모카브랜드 글로벌 와 엑셀러레이팅 프로그램 출범,1
엄브렐라네트워크 체인스왑 해킹 피해 관련 신규 토큰 에어드랍,1
조지아 정부 현지 생산 와인 연계 발행 예정,1
코인베이스 인수 인프라 개발사 솔라나 기반 개발 툴 출시,1
마켓 만 달러 투자 유치,1
코인펀드 만 달러 규모 디파이 투자 펀드 조성,1
디파이 개발사 코인 만 달러 규모 투자 유치,1
디파이 개발사 코인 만 달러 규모 투자 유치 해시드 주도,1
준비 자산 공개 현금 및 현금성 자산,1
뉴욕증권거래소 아르카 플랫폼 암호화폐 채굴 산업 투자 상장,1
암호화폐 자산 이동 규정 강화 법안 발의 익명 암호화폐 월렛 금지,1
옵션 만 만 달러 풋옵션 급증 시장 약세 전망 반영,-1
베가 프로토콜 코인리스트서 토큰세일 만 달러 투자 유치,-1
보스턴 소재 억 달러 규모 펀드 조성 크립토 등 투자,-1
달러 일시 회복,-1
디파이 수익 애그리게이터 플루리 파이낸스 만 달러 투자 유치,-1
상원의원 랜섬웨어 공격 관련 암호화폐 역할 조사 필요,-1
타이탄 만 달러 시리즈 투자 유치 등 참여,-1
억 달러 시리즈 투자 유치 기업 가치 억 달러 평가,-1
세금 컴플라이언스 기업 택스비트 유니콘 등극 위해 투자 유치 계획,-1
외신 바이낸스 지분 정리 좋은 조건으로 완료,-1
외신 주 이동평균선 하회시 만 달러선까지 하락 가능,-1
포브스 비트코인 시장 역동성 향상,-1
유엔 산하 경영 이니셔티브 가입,-1
미 하원 소위원회 랜섬웨어 주제로 청문회 개최 암호화폐 외 문제도 존재,-1
유럽 헤지펀드에 암호화폐 서비스 제공,-1
실버게이트 디지털화폐 수수료 수익 전 분기 유동성 증가,-1
그레이스케일 암호화폐 운용 자산 약 억 달러,-1
크립토인덱스 개 코인 포함 등 제외,-1
캐나다 중앙은행 연구 결과 발표,-1
메이커 재단 설립자 수개월 내 재단 해체,-1
이더리움 공동 창업자 업계 떠나도 암호화폐 청산 안 해,-1
억 실탄장전 비덴트 빗썸 진짜 주인 등극하나,-1
포춘 테슬라 투자수익 최근 폭락으로 증발,-1
비트코인 만달러 선 붕괴 전문가들 추가 하락 후 반등할 것,-1
서클 폴로닉스 합의 위해 만달러 준비,-1
크립토 공포 탐욕 지수 극단적 공포 지속,-1
이더리움클래식 마그네토 하드포크 예상,-1
다날 비트코인 배달결제 시장 여나 위 배달업체 억원 투자,-1
골드만삭스 가격 네트워크 규모 대비 고평가,-1
매드머니 진행자 테더 준비자산 기업어음 구성비율 공개하라,-1
북한 암호화폐 특강 개발자 코인베이스 계정 확인 후 재수감,-1
두나무 계열사 람다 디비전 메타버스에서 컨퍼런스 개최,-1
하정우 그림 카톡 장터 서 판다 만원에 경매 시작,-1
후오비코리아 에어드롭 지급 완료,-1
이퀼리브리엄 지원 발표,-1
월 일 코인니스 데일리 선물 차트 분석,-1
만달러 회복,-1
바이비트 횡보장 고정 수익 암호화폐 상품 투자 유효,-1
에이프로빗 실시간 주요 암호화폐 시세,-1
네온랩스 솔라나에 이더리움 가상머신 배치,-1
